"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","15-Dec-2021","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","8.75","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","15-Dec-2021","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","9.75","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","22-Nov-2021","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9.75","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","22-Nov-2021","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7.75","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","22-Nov-2021","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","8.75","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","21-Sep-2021","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","8.25","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","21-Sep-2021","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","6.25","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","21-Sep-2021","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","7.25","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","26-Jun-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","8","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","26-Jun-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","6","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","26-Jun-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","7","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-May-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-May-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-May-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","8","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-May-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-May-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
