"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","3974","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2023","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2106","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","8169","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","3110","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5059","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","9322","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3999","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","3204","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2023","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2119","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","10845","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","5586","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5260","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","11221","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3767","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","5702","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","1752","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","13020","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","7722","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5298","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","13486","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3645","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","7853","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","1988","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","13991","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","8760","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5232","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","14235","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3407","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","8972","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Oct-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","1856","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","13292","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","7860","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5432","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","13621","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3475","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","8045","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Sep-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2101","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","14233","Million USD","Normal","","10","Total Liquid FX Reserves"
