"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","10059","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","5764","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","103003","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","278","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","136","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","308","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","3330","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","10977","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","6818","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","102499","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","283","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","48","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","586","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","28-Feb-2023","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","3242","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","14742","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","10012","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","109558","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","277","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","72","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","854","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","3406","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","11706","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","9364","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","108505","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","282","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","62","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","406","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Jan-2023","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","1592","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","18313","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","16263","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","103899","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","276","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","64","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","749","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","1015","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","17851","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","15915","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","107238","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","291","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","57","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","524","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Dec-2022","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","1064","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","30-Nov-2022","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","20113","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","30-Nov-2022","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","17787","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","30-Nov-2022","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","111111","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","30-Nov-2022","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","275","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","30-Nov-2022","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","46","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","30-Nov-2022","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","744","Number","Normal","","60","Sales of LCVS (Pick Ups)"
