date,series_name,value
1974-06-30,Other GCC Countries,3.9
1974-06-30,Saudi Arabia,1.2
1974-06-30,U.A.E.,0
1974-06-30,U.K.,5.6
1974-06-30,USA,1.1
1974-07-31,EU Countries,0.4
1974-07-31,Other Countries,3.5
1974-07-31,Other GCC Countries,2.6
1974-07-31,Saudi Arabia,1.2
1974-07-31,U.A.E.,1.3
1974-07-31,U.K.,5.7
1974-07-31,USA,1.3
1974-08-31,EU Countries,0.5
1974-08-31,Other Countries,3.1
1974-08-31,Other GCC Countries,2.3
1974-08-31,Saudi Arabia,1.1
1974-08-31,U.A.E.,1.3
1974-08-31,U.K.,5.6
1974-08-31,USA,1.5
1974-09-30,EU Countries,0.4
1974-09-30,Other Countries,3.8
1974-09-30,Other GCC Countries,2.5
1974-09-30,Saudi Arabia,1.3
1974-09-30,U.A.E.,1.3
1974-09-30,U.K.,4.7
1974-09-30,USA,1.4
1974-10-31,EU Countries,0.4
1974-10-31,Other Countries,3
1974-10-31,Other GCC Countries,2.6
1974-10-31,Saudi Arabia,1.3
1974-10-31,U.A.E.,1
1974-10-31,U.K.,5.7
1974-10-31,USA,1.5
1974-11-30,EU Countries,0.4
1974-11-30,Other Countries,4.2
1974-11-30,Other GCC Countries,2.4
1974-11-30,Saudi Arabia,1.2
1974-11-30,U.A.E.,1.5
1974-11-30,U.K.,4.9
1974-11-30,USA,1.4
1974-12-31,EU Countries,0.4
1974-12-31,Other Countries,3.5
1974-12-31,Other GCC Countries,2.7
1974-12-31,Saudi Arabia,1.4
1974-12-31,U.A.E.,1.6
1974-12-31,U.K.,4.9
1974-12-31,USA,1.5
1975-01-31,EU Countries,0.4
1975-01-31,Other Countries,3.4
1975-01-31,Other GCC Countries,2.8
1975-01-31,Saudi Arabia,1.1
1975-01-31,U.A.E.,1
1975-01-31,U.K.,6.9
1975-01-31,USA,1.8
1975-02-28,EU Countries,0.4
1975-02-28,Other Countries,3.4
1975-02-28,Other GCC Countries,2.9
1975-02-28,Saudi Arabia,1.3
1975-02-28,U.A.E.,1.8
1975-02-28,U.K.,7
1975-02-28,USA,1.6
1975-03-31,EU Countries,0.5
1975-03-31,Other Countries,3.6
1975-03-31,Other GCC Countries,4
1975-03-31,Saudi Arabia,1.6
1975-03-31,U.A.E.,3.1
1975-03-31,U.K.,8.1
1975-03-31,USA,1.7
1975-04-30,EU Countries,0.6
1975-04-30,Other Countries,3.7
1975-04-30,Other GCC Countries,4.2
1975-04-30,Saudi Arabia,2
1975-04-30,U.A.E.,2.4
1975-04-30,U.K.,7.8
1975-04-30,USA,1.8
1975-05-31,EU Countries,0.6
1975-05-31,Other Countries,4
1975-05-31,Other GCC Countries,4
1975-05-31,Saudi Arabia,2.2
1975-05-31,U.A.E.,3
1975-05-31,U.K.,8.3
1975-05-31,USA,2
1975-06-30,EU Countries,0.4
1975-06-30,Other Countries,2.6
1975-06-30,Other GCC Countries,3.3
1975-06-30,Saudi Arabia,1.6
1975-06-30,U.A.E.,3.2
1975-06-30,U.K.,4.6
1975-06-30,USA,1.6
1975-07-31,EU Countries,0.5
1975-07-31,Other Countries,4.5
1975-07-31,Other GCC Countries,4.9
1975-07-31,Saudi Arabia,2.5
1975-07-31,U.A.E.,3.5
1975-07-31,U.K.,5.5
1975-07-31,USA,2
1975-08-31,EU Countries,0.4
1975-08-31,Other Countries,4.3
1975-08-31,Other GCC Countries,6.2
1975-08-31,Saudi Arabia,1.9
1975-08-31,U.A.E.,4.9
1975-08-31,U.K.,4.2
1975-08-31,USA,1.9
1975-09-30,EU Countries,0.5
1975-09-30,Other Countries,4.5
1975-09-30,Other GCC Countries,5.8
1975-09-30,Saudi Arabia,2.2
1975-09-30,U.A.E.,4.2
1975-09-30,U.K.,5.2
1975-09-30,USA,2.1
1975-10-31,EU Countries,0.6
1975-10-31,Other Countries,5.300000000000001
1975-10-31,Other GCC Countries,5.3
1975-10-31,Saudi Arabia,2.7
1975-10-31,U.A.E.,4
1975-10-31,U.K.,4.6
1975-10-31,USA,2.4
1975-11-30,EU Countries,0.9
1975-11-30,Other Countries,4.2
1975-11-30,Other GCC Countries,6.4
1975-11-30,Saudi Arabia,2.5
1975-11-30,U.A.E.,4.9
1975-11-30,U.K.,4.6
1975-11-30,USA,1.9
1975-12-31,EU Countries,1
1975-12-31,Other Countries,4.7
1975-12-31,Other GCC Countries,7.4
1975-12-31,Saudi Arabia,2.3
1975-12-31,U.A.E.,4.8
1975-12-31,U.K.,4.5
1975-12-31,USA,2.3
1976-01-31,EU Countries,0.6
1976-01-31,Other Countries,3.5
1976-01-31,Other GCC Countries,6.1
1976-01-31,Saudi Arabia,2.8
1976-01-31,U.A.E.,4.8
1976-01-31,U.K.,4.9
1976-01-31,USA,2.1
1976-02-29,EU Countries,0.6
1976-02-29,Other Countries,4.2
1976-02-29,Other GCC Countries,15.3
1976-02-29,Saudi Arabia,8.5
1976-02-29,U.A.E.,7.9
1976-02-29,U.K.,4.1
1976-02-29,USA,2.3
1976-03-31,EU Countries,0.6
1976-03-31,Other Countries,3.6999999999999997
1976-03-31,Other GCC Countries,8
1976-03-31,Saudi Arabia,4.8
1976-03-31,U.A.E.,6.4
1976-03-31,U.K.,4.2
1976-03-31,USA,2.1
1976-04-30,EU Countries,0.7
1976-04-30,Other Countries,5.1000000000000005
1976-04-30,Other GCC Countries,7.8
1976-04-30,Saudi Arabia,5.1
1976-04-30,U.A.E.,5.8
1976-04-30,U.K.,4.1
1976-04-30,USA,2.2
1976-05-31,EU Countries,0.7
1976-05-31,Other Countries,5.2
1976-05-31,Other GCC Countries,7.3
1976-05-31,Saudi Arabia,5
1976-05-31,U.A.E.,5.2
1976-05-31,U.K.,3.9
1976-05-31,USA,2.2
1976-06-30,EU Countries,0.7
1976-06-30,Other Countries,4
1976-06-30,Other GCC Countries,8.9
1976-06-30,Saudi Arabia,6.1
1976-06-30,U.A.E.,6
1976-06-30,U.K.,4.7
1976-06-30,USA,2.4
1976-07-31,EU Countries,0.8
1976-07-31,Other Countries,5.199999999999999
1976-07-31,Other GCC Countries,7.4
1976-07-31,Saudi Arabia,6.8
1976-07-31,U.A.E.,6.1
1976-07-31,U.K.,4.8
1976-07-31,USA,2.3
1976-08-31,EU Countries,0.8
1976-08-31,Other Countries,4.7
1976-08-31,Other GCC Countries,8.4
1976-08-31,Saudi Arabia,6
1976-08-31,U.A.E.,7
1976-08-31,U.K.,4
1976-08-31,USA,2.4
1976-09-30,EU Countries,0.7
1976-09-30,Other Countries,6.1000000000000005
1976-09-30,Other GCC Countries,8.8
1976-09-30,Saudi Arabia,6.9
1976-09-30,U.A.E.,5.3
1976-09-30,U.K.,3.8
1976-09-30,USA,2.3
1976-10-31,EU Countries,1.1
1976-10-31,Other Countries,5.5
1976-10-31,Other GCC Countries,8.8
1976-10-31,Saudi Arabia,10.5
1976-10-31,U.A.E.,7.2
1976-10-31,U.K.,3
1976-10-31,USA,2.5
1976-11-30,EU Countries,1.1
1976-11-30,Other Countries,6.6
1976-11-30,Other GCC Countries,11.5
1976-11-30,Saudi Arabia,8.7
1976-11-30,U.A.E.,8.9
1976-11-30,U.K.,4.1
1976-11-30,USA,2.5
1976-12-31,EU Countries,1.2
1976-12-31,Other Countries,6
1976-12-31,Other GCC Countries,9.3
1976-12-31,Saudi Arabia,8.3
1976-12-31,U.A.E.,6.8
1976-12-31,U.K.,3.6
1976-12-31,USA,2.6
1977-01-31,EU Countries,1.3
1977-01-31,Other Countries,6.8
1977-01-31,Other GCC Countries,13.6
1977-01-31,Saudi Arabia,15.2
1977-01-31,U.A.E.,15
1977-01-31,U.K.,4.2
1977-01-31,USA,2.8
1977-02-28,EU Countries,1
1977-02-28,Other Countries,5.6
1977-02-28,Other GCC Countries,9.9
1977-02-28,Saudi Arabia,15.5
1977-02-28,U.A.E.,8.9
1977-02-28,U.K.,4.1
1977-02-28,USA,2.2
1977-03-31,EU Countries,1.1
1977-03-31,Other Countries,6.9
1977-03-31,Other GCC Countries,12.7
1977-03-31,Saudi Arabia,21.2
1977-03-31,U.A.E.,13.1
1977-03-31,U.K.,4.8
1977-03-31,USA,2.5
1977-04-30,EU Countries,1
1977-04-30,Other Countries,7.1
1977-04-30,Other GCC Countries,18.1
1977-04-30,Saudi Arabia,25.5
1977-04-30,U.A.E.,16.7
1977-04-30,U.K.,4.3
1977-04-30,USA,2.4
1977-05-31,EU Countries,1.2
1977-05-31,Other Countries,9.700000000000001
1977-05-31,Other GCC Countries,10.9
1977-05-31,Saudi Arabia,17.3
1977-05-31,U.A.E.,11.8
1977-05-31,U.K.,4.4
1977-05-31,USA,2.5
1977-06-30,EU Countries,1.6
1977-06-30,Other Countries,8.4
1977-06-30,Other GCC Countries,11.7
1977-06-30,Saudi Arabia,17.1
1977-06-30,U.A.E.,10.9
1977-06-30,U.K.,4
1977-06-30,USA,2.3
1977-07-31,EU Countries,1.6
1977-07-31,Other Countries,9.7
1977-07-31,Other GCC Countries,17
1977-07-31,Saudi Arabia,31.4
1977-07-31,U.A.E.,15.4
1977-07-31,U.K.,5.7
1977-07-31,USA,2.2
1977-08-31,EU Countries,1
1977-08-31,Other Countries,11.1
1977-08-31,Other GCC Countries,19
1977-08-31,Saudi Arabia,33.2
1977-08-31,U.A.E.,23
1977-08-31,U.K.,5.3
1977-08-31,USA,2.6
1977-09-30,EU Countries,1.2
1977-09-30,Other Countries,7.7
1977-09-30,Other GCC Countries,16.2
1977-09-30,Saudi Arabia,28.7
1977-09-30,U.A.E.,14
1977-09-30,U.K.,4.6
1977-09-30,USA,2.7
1977-10-31,EU Countries,1.4
1977-10-31,Other Countries,9.3
1977-10-31,Other GCC Countries,16
1977-10-31,Saudi Arabia,39.2
1977-10-31,U.A.E.,16.5
1977-10-31,U.K.,5.3
1977-10-31,USA,2.9
1977-11-30,EU Countries,1.4
1977-11-30,Other Countries,6.6000000000000005
1977-11-30,Other GCC Countries,14.7
1977-11-30,Saudi Arabia,32.4
1977-11-30,U.A.E.,15.2
1977-11-30,U.K.,4.9
1977-11-30,USA,3.1
1977-12-31,EU Countries,2.1
1977-12-31,Other Countries,10.8
1977-12-31,Other GCC Countries,19.4
1977-12-31,Saudi Arabia,32.6
1977-12-31,U.A.E.,16.2
1977-12-31,U.K.,5.8
1977-12-31,USA,3.4
1978-01-31,EU Countries,2
1978-01-31,Other Countries,11.6
1978-01-31,Other GCC Countries,17.1
1978-01-31,Saudi Arabia,43.1
1978-01-31,U.A.E.,20.3
1978-01-31,U.K.,8
1978-01-31,USA,3.1
1978-02-28,EU Countries,1.8
1978-02-28,Other Countries,9.3
1978-02-28,Other GCC Countries,15.6
1978-02-28,Saudi Arabia,38.2
1978-02-28,U.A.E.,17.4
1978-02-28,U.K.,8.3
1978-02-28,USA,3
1978-03-31,EU Countries,2.5
1978-03-31,Other Countries,11.5
1978-03-31,Other GCC Countries,19.8
1978-03-31,Saudi Arabia,45
1978-03-31,U.A.E.,19
1978-03-31,U.K.,8.3
1978-03-31,USA,4.6
1978-04-30,EU Countries,2.1
1978-04-30,Other Countries,11.7
1978-04-30,Other GCC Countries,18.8
1978-04-30,Saudi Arabia,44.7
1978-04-30,U.A.E.,16.7
1978-04-30,U.K.,7
1978-04-30,USA,7.9
1978-05-31,EU Countries,2.6
1978-05-31,Other Countries,11.5
1978-05-31,Other GCC Countries,20.6
1978-05-31,Saudi Arabia,48.7
1978-05-31,U.A.E.,19.2
1978-05-31,U.K.,7.5
1978-05-31,USA,8.1
1978-06-30,EU Countries,2.6
1978-06-30,Other Countries,10.5
1978-06-30,Other GCC Countries,18.2
1978-06-30,Saudi Arabia,47.1
1978-06-30,U.A.E.,15.4
1978-06-30,U.K.,6.1
1978-06-30,USA,7.9
1978-07-31,EU Countries,2.9
1978-07-31,Other Countries,11.7
1978-07-31,Other GCC Countries,19.4
1978-07-31,Saudi Arabia,43.3
1978-07-31,U.A.E.,15.4
1978-07-31,U.K.,7
1978-07-31,USA,5.3
1978-08-31,EU Countries,3.2
1978-08-31,Other Countries,11.799999999999999
1978-08-31,Other GCC Countries,18.1
1978-08-31,Saudi Arabia,40.7
1978-08-31,U.A.E.,20.2
1978-08-31,U.K.,9.7
1978-08-31,USA,3.8
1978-09-30,EU Countries,3
1978-09-30,Other Countries,12.9
1978-09-30,Other GCC Countries,17.9
1978-09-30,Saudi Arabia,42
1978-09-30,U.A.E.,17.6
1978-09-30,U.K.,8.2
1978-09-30,USA,4.1
1978-10-31,EU Countries,4
1978-10-31,Other Countries,15.4
1978-10-31,Other GCC Countries,24
1978-10-31,Saudi Arabia,58.6
1978-10-31,U.A.E.,19.5
1978-10-31,U.K.,10.4
1978-10-31,USA,3
1978-11-30,EU Countries,3.8
1978-11-30,Other Countries,12.1
1978-11-30,Other GCC Countries,20.8
1978-11-30,Saudi Arabia,38.9
1978-11-30,U.A.E.,18.3
1978-11-30,U.K.,12.6
1978-11-30,USA,4.6
1978-12-31,EU Countries,3.9
1978-12-31,Other Countries,12.5
1978-12-31,Other GCC Countries,16.6
1978-12-31,Saudi Arabia,36.5
1978-12-31,U.A.E.,13.3
1978-12-31,U.K.,7.9
1978-12-31,USA,5
1979-01-31,EU Countries,5
1979-01-31,Other Countries,11.8
1979-01-31,Other GCC Countries,19.7
1979-01-31,Saudi Arabia,63.2
1979-01-31,U.A.E.,19.2
1979-01-31,U.K.,12.8
1979-01-31,USA,5.7
1979-02-28,EU Countries,3.5
1979-02-28,Other Countries,13.4
1979-02-28,Other GCC Countries,17.1
1979-02-28,Saudi Arabia,47.7
1979-02-28,U.A.E.,14.8
1979-02-28,U.K.,9.8
1979-02-28,USA,4.5
1979-03-31,EU Countries,5.4
1979-03-31,Other Countries,14.3
1979-03-31,Other GCC Countries,18.8
1979-03-31,Saudi Arabia,55.5
1979-03-31,U.A.E.,14.8
1979-03-31,U.K.,10
1979-03-31,USA,4.5
1979-04-30,EU Countries,4
1979-04-30,Other Countries,11
1979-04-30,Other GCC Countries,18.4
1979-04-30,Saudi Arabia,58.7
1979-04-30,U.A.E.,18.7
1979-04-30,U.K.,11.2
1979-04-30,USA,3.8
1979-05-31,EU Countries,4.7
1979-05-31,Other Countries,12.9
1979-05-31,Other GCC Countries,17.3
1979-05-31,Saudi Arabia,57.4
1979-05-31,U.A.E.,15.7
1979-05-31,U.K.,10.5
1979-05-31,USA,4.3
1979-06-30,EU Countries,4.4
1979-06-30,Other Countries,11.5
1979-06-30,Other GCC Countries,18.3
1979-06-30,Saudi Arabia,52.1
1979-06-30,U.A.E.,18.4
1979-06-30,U.K.,9.1
1979-06-30,USA,5.1
1979-07-31,EU Countries,5.1
1979-07-31,Other Countries,12
1979-07-31,Other GCC Countries,19.1
1979-07-31,Saudi Arabia,55.5
1979-07-31,U.A.E.,15.1
1979-07-31,U.K.,9.7
1979-07-31,USA,5.4
1979-08-31,EU Countries,4.9
1979-08-31,Other Countries,16.1
1979-08-31,Other GCC Countries,17.1
1979-08-31,Saudi Arabia,60
1979-08-31,U.A.E.,14.3
1979-08-31,U.K.,12.7
1979-08-31,USA,3.9
1979-09-30,EU Countries,5
1979-09-30,Other Countries,12.8
1979-09-30,Other GCC Countries,17.3
1979-09-30,Saudi Arabia,57.2
1979-09-30,U.A.E.,9.1
1979-09-30,U.K.,7.6
1979-09-30,USA,6.1
1979-10-31,EU Countries,6.3
1979-10-31,Other Countries,15.8
1979-10-31,Other GCC Countries,20.7
1979-10-31,Saudi Arabia,63.7
1979-10-31,U.A.E.,14.6
1979-10-31,U.K.,13
1979-10-31,USA,4.9
1979-11-30,EU Countries,5.1
1979-11-30,Other Countries,12.100000000000001
1979-11-30,Other GCC Countries,19.6
1979-11-30,Saudi Arabia,40.6
1979-11-30,U.A.E.,13.7
1979-11-30,U.K.,7.8
1979-11-30,USA,4.8
1979-12-31,EU Countries,6.8
1979-12-31,Other Countries,13.4
1979-12-31,Other GCC Countries,24
1979-12-31,Saudi Arabia,65.4
1979-12-31,U.A.E.,19.7
1979-12-31,U.K.,13.3
1979-12-31,USA,5
1980-01-31,EU Countries,7.2
1980-01-31,Other Countries,15.7
1980-01-31,Other GCC Countries,29.2
1980-01-31,Saudi Arabia,80.6
1980-01-31,U.A.E.,16.3
1980-01-31,U.K.,14.8
1980-01-31,USA,5.1
1980-02-29,EU Countries,5.9
1980-02-29,Other Countries,14.5
1980-02-29,Other GCC Countries,26.4
1980-02-29,Saudi Arabia,71.8
1980-02-29,U.A.E.,22.7
1980-02-29,U.K.,18.6
1980-02-29,USA,4.8
1980-03-31,EU Countries,6.8
1980-03-31,Other Countries,15.3
1980-03-31,Other GCC Countries,29.8
1980-03-31,Saudi Arabia,77.1
1980-03-31,U.A.E.,22.1
1980-03-31,U.K.,12.7
1980-03-31,USA,4.7
1980-04-30,EU Countries,5.2
1980-04-30,Other Countries,16.1
1980-04-30,Other GCC Countries,27.8
1980-04-30,Saudi Arabia,76.9
1980-04-30,U.A.E.,23.9
1980-04-30,U.K.,12.6
1980-04-30,USA,4.6
1980-05-31,EU Countries,4
1980-05-31,Other Countries,15.7
1980-05-31,Other GCC Countries,26.7
1980-05-31,Saudi Arabia,77.5
1980-05-31,U.A.E.,26.3
1980-05-31,U.K.,12.9
1980-05-31,USA,5.3
1980-06-30,EU Countries,7.3
1980-06-30,Other Countries,13.4
1980-06-30,Other GCC Countries,23.7
1980-06-30,Saudi Arabia,69.1
1980-06-30,U.A.E.,19.2
1980-06-30,U.K.,14.1
1980-06-30,USA,6.9
1980-07-31,EU Countries,8.5
1980-07-31,Other Countries,17.7
1980-07-31,Other GCC Countries,31
1980-07-31,Saudi Arabia,82.2
1980-07-31,U.A.E.,26.4
1980-07-31,U.K.,20.1
1980-07-31,USA,4.9
1980-08-31,EU Countries,7.9
1980-08-31,Other Countries,13.4
1980-08-31,Other GCC Countries,25.9
1980-08-31,Saudi Arabia,73.5
1980-08-31,U.A.E.,24.5
1980-08-31,U.K.,15.4
1980-08-31,USA,4.8
1980-09-30,EU Countries,7.1
1980-09-30,Other Countries,16.3
1980-09-30,Other GCC Countries,27.7
1980-09-30,Saudi Arabia,73.8
1980-09-30,U.A.E.,22.8
1980-09-30,U.K.,15.9
1980-09-30,USA,7.2
1980-10-31,EU Countries,6.2
1980-10-31,Other Countries,16.099999999999998
1980-10-31,Other GCC Countries,26.3
1980-10-31,Saudi Arabia,59.1
1980-10-31,U.A.E.,20.9
1980-10-31,U.K.,12.3
1980-10-31,USA,5.5
1980-11-30,EU Countries,7.3
1980-11-30,Other Countries,18.5
1980-11-30,Other GCC Countries,29.7
1980-11-30,Saudi Arabia,79.5
1980-11-30,U.A.E.,28.4
1980-11-30,U.K.,18.7
1980-11-30,USA,4.7
1980-12-31,EU Countries,7.5
1980-12-31,Other Countries,20.2
1980-12-31,Other GCC Countries,31.9
1980-12-31,Saudi Arabia,81.9
1980-12-31,U.A.E.,25.1
1980-12-31,U.K.,24
1980-12-31,USA,6
1981-01-31,EU Countries,5.5
1981-01-31,Other Countries,18.7
1981-01-31,Other GCC Countries,24
1981-01-31,Saudi Arabia,90
1981-01-31,U.A.E.,17.4
1981-01-31,U.K.,13.7
1981-01-31,USA,10.9
1981-02-28,EU Countries,4.3
1981-02-28,Other Countries,15.799999999999999
1981-02-28,Other GCC Countries,24.9
1981-02-28,Saudi Arabia,81.8
1981-02-28,U.A.E.,20
1981-02-28,U.K.,15.6
1981-02-28,USA,5
1981-03-31,EU Countries,4.3
1981-03-31,Other Countries,19.7
1981-03-31,Other GCC Countries,26.8
1981-03-31,Saudi Arabia,94.2
1981-03-31,U.A.E.,23.9
1981-03-31,U.K.,14.3
1981-03-31,USA,5.8
1981-04-30,EU Countries,5.1
1981-04-30,Other Countries,18.2
1981-04-30,Other GCC Countries,30.8
1981-04-30,Saudi Arabia,102.4
1981-04-30,U.A.E.,23
1981-04-30,U.K.,12.6
1981-04-30,USA,5.9
1981-05-31,EU Countries,4.5
1981-05-31,Other Countries,17.2
1981-05-31,Other GCC Countries,28.1
1981-05-31,Saudi Arabia,93.3
1981-05-31,U.A.E.,17.3
1981-05-31,U.K.,12.4
1981-05-31,USA,4.5
1981-06-30,EU Countries,3.8
1981-06-30,Other Countries,16.6
1981-06-30,Other GCC Countries,23.3
1981-06-30,Saudi Arabia,72.6
1981-06-30,U.A.E.,15.8
1981-06-30,U.K.,10
1981-06-30,USA,5.8
1981-07-31,EU Countries,4.3
1981-07-31,Other Countries,16.5
1981-07-31,Other GCC Countries,25.9
1981-07-31,Saudi Arabia,71
1981-07-31,U.A.E.,17.3
1981-07-31,U.K.,8.6
1981-07-31,USA,5.4
1981-08-31,EU Countries,4.1
1981-08-31,Other Countries,15.399999999999999
1981-08-31,Other GCC Countries,25.3
1981-08-31,Saudi Arabia,103.9
1981-08-31,U.A.E.,15.9
1981-08-31,U.K.,7.9
1981-08-31,USA,5.1
1981-09-30,EU Countries,4.8
1981-09-30,Other Countries,17
1981-09-30,Other GCC Countries,23.8
1981-09-30,Saudi Arabia,89
1981-09-30,U.A.E.,13.8
1981-09-30,U.K.,6.4
1981-09-30,USA,5.6
1981-10-31,EU Countries,5.7
1981-10-31,Other Countries,17.6
1981-10-31,Other GCC Countries,30.3
1981-10-31,Saudi Arabia,77.8
1981-10-31,U.A.E.,14.2
1981-10-31,U.K.,7.2
1981-10-31,USA,5
1981-11-30,EU Countries,5.8
1981-11-30,Other Countries,18.1
1981-11-30,Other GCC Countries,34.4
1981-11-30,Saudi Arabia,81.2
1981-11-30,U.A.E.,17.6
1981-11-30,U.K.,8.1
1981-11-30,USA,4.8
1981-12-31,EU Countries,7.6
1981-12-31,Other Countries,21.900000000000002
1981-12-31,Other GCC Countries,34.3
1981-12-31,Saudi Arabia,95.9
1981-12-31,U.A.E.,17.1
1981-12-31,U.K.,13
1981-12-31,USA,6.1
1982-01-31,EU Countries,5.2
1982-01-31,Other Countries,18.3
1982-01-31,Other GCC Countries,27.3
1982-01-31,Saudi Arabia,95.5
1982-01-31,U.A.E.,15.9
1982-01-31,U.K.,9
1982-01-31,USA,6.5
1982-02-28,EU Countries,4.2
1982-02-28,Other Countries,23.2
1982-02-28,Other GCC Countries,30.1
1982-02-28,Saudi Arabia,100.1
1982-02-28,U.A.E.,18.5
