s1,s2,s3,s4,date,value
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-07-08,917734.1136
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-07-08,1212790.571
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-07-08,-579484.8064
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-07-08,-217762.4333
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-07-08,18537962.65
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-07-08,1120951.002
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-07-08,-17285.76055
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-07-08,8943019.783
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-07-08,1385017.004
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-07-08,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-07-08,85209.274
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-07-08,-2098518.424
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-07-01,7577002.357
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-07-01,95319.29503
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-07-01,17761077.26
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-07-01,962849.0772
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-07-01,1212790.571
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-07-01,-557340.5928
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-07-01,-193254.3403
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-07-01,18506858.49
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-07-01,1133655.091
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-07-01,-17272.72436
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-07-01,9238134.189
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-07-01,1396341.71
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-07-01,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-07-01,85419.274
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-07-01,-1959258.693
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-06-30,7572465.233
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-06-30,95666.34337
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-06-30,17759201.55
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-06-30,945464.5087
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-06-30,1230183.012
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-06-30,-563260.9893
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-06-30,-193331.5563
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-06-30,18550413.71
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-06-30,1133655.091
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-06-30,-17272.72436
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-06-30,9241217.241
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-06-30,1393446.018
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-06-30,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-06-30,82386.473
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-06-30,-2000028.787
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-06-24,7643516.092
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-06-24,92881.44646
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-06-24,16820268.96
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-06-24,920288.4075
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-06-24,1212790.571
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-06-24,-484546.3189
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-06-24,-243992.7453
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-06-24,17896675.49
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-06-24,1138161.763
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-06-24,-17071.94634
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-06-24,9073944.288
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-06-24,1425510.122
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-06-24,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-06-24,81096.473
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-06-24,-2155787.807
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-06-17,7693421.904
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-06-17,93225.52165
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-06-17,16527462.31
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-06-17,1011469.246
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-06-17,1195492.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-06-17,-888146.8352
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-06-17,-295033.4092
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-06-17,18159226.13
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-06-17,1149536.867
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-06-17,-17020.09689
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-06-17,9017277.191
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-06-17,1428759.553
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-06-17,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-06-17,80867.473
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-06-17,-2090151.727
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-06-10,7725379.698
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-06-10,90582.31797
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-06-10,16356770.6
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-06-10,997062.9725
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-06-10,1195492.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-06-10,-759875.1512
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-06-10,-292018.3312
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-06-10,17916578.08
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-06-10,1160818.816
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-06-10,-16974.31154
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-06-10,9010295.504
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-06-10,1439788.659
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-06-10,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-06-10,80794.473
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-06-10,-2149876.294
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-06-03,7657689.513
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-06-03,89997.92311
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-06-03,16281990.56
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-06-03,974198.8686
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-06-03,1195492.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-06-03,-717688.3012
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-06-03,-283290.6302
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-06-03,17722194.12
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-06-03,1168790.375
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-06-03,-16947.61277
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-06-03,9053771.679
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-06-03,1405821.13
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-06-03,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-06-03,80764.473
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-06-03,-2189802.523
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-05-27,7662178.204
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-05-27,87725.10256
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-05-27,16067411.15
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-05-27,959111.6637
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-05-27,1195492.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-05-27,-581653.7469
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-05-27,-249441.6762
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-05-27,17266944.44
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-05-27,1181349.985
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-05-27,-16960.36227
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-05-27,9051210.985
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-05-27,1414721.168
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-05-27,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-05-27,80671.473
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-05-27,-2150680.309
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-05-20,7788516.948
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-05-20,89429.9846
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-05-20,15968345.99
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-05-20,947422.4822
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-05-20,1127081.711
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-05-20,-505442.6892
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-05-20,-221899.5779
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-05-20,17138652.07
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-05-20,1185429.963
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-05-20,-16934.87583
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-05-20,9042934.611
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-05-20,1420668.54
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-05-20,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-05-20,80265.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-05-20,-2178632.419
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-05-13,7916618.803
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-05-13,90980.22091
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-05-13,15763199.78
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-05-13,911846.3761
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-05-13,1127081.711
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-05-13,-467921.4436
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-05-13,-184431.5409
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-05-13,16943436.81
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-05-13,1182899.342
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-05-13,-14474.37174
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-05-13,8974317.306
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-05-13,1432886.578
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-05-13,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-05-13,79693.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-05-13,-2112435.334
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-05-06,8006961.138
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-05-06,93992.87741
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-05-06,15680712.27
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-05-06,892109.8568
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-05-06,1127081.711
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-05-06,-451937.6271
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-05-06,-146474.8659
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-05-06,16965038.51
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-05-06,1141704.643
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-05-06,-14422.2169
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-05-06,8925518.39
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-05-06,1448324.244
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-05-06,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-05-06,79657.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-05-06,-2122306.719
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-04-29,7901645.767
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-04-29,95272.10133
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-04-29,15735473.42
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-04-29,887206.1875
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-04-29,1127081.711
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-04-29,-429568.6113
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-04-29,-175104.7079
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-04-29,16952316.62
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-04-29,1114877.987
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-04-29,-14421.79567
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-04-29,8942588.169
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-04-29,1451310.798
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-04-29,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-04-29,79545.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-04-29,-2150620.762
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-04-22,7666532.54
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-04-22,93208.17238
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-04-22,15371658.04
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-04-22,899625.9132
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-04-22,1122176.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-04-22,-452103.8666
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-04-22,-167931.0447
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-04-22,16740173.4
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-04-22,1012255.521
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-04-22,-11537.45441
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-04-22,8864564.491
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-04-22,1437665.021
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-04-22,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-04-22,78924.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-04-22,-2324565.882
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-04-15,7624925.145
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-04-15,90601.92913
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-04-15,15391309.02
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-04-15,880644.3912
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-04-15,1122176.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-04-15,-411198.8935
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-04-15,-151798.4207
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-04-15,16521561.94
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-04-15,914970.5756
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-04-15,-11474.20258
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-04-15,8826962.323
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-04-15,1448758.886
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-04-15,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-04-15,78807.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-04-15,-2082689.205
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-04-08,7521118.44
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-04-08,87539.57649
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-04-08,15440024.92
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-04-08,868893.3181
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-04-08,1122176.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-04-08,-432881.4715
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-04-08,-132594.2067
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-04-08,16507259.97
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-04-08,863630.2948
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-04-08,-11258.93428
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-04-08,8816856.622
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-04-08,1474302.7
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-04-08,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-04-08,78713.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-04-08,-2100032.7
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-04-01,7311108.993
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-04-01,84185.32765
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-04-01,15627563.77
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-04-01,851111.3669
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-04-01,1122176.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-04-01,-330115.4036
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-04-01,-142903.5077
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-04-01,16311998.77
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-04-01,847522.2687
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-04-01,-10966.40873
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-04-01,8828363.273
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-04-01,1440950.472
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-04-01,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-04-01,78582.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-04-01,-2003042.234
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-03-31,7261157.652
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-03-31,85801.02393
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-03-31,16099800.65
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-03-31,851241.1861
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2022-03-31,1122176.006
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2022-03-31,-314290.1103
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2022-03-31,-132924.3757
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2022-03-31,16554329.35
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2022-03-31,844776.3815
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2022-03-31,-11111.63356
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2022-03-31,8923429.685
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2022-03-31,1439429.071
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2022-03-31,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2022-03-31,78717.33025
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2022-03-31,-1937935.342
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2022-03-25,7298470.703
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2022-03-25,84608.29973
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2022-03-25,15543622.37
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2022-03-25,835594.2863
