s1,s2,s3,s4,date,value
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-05-12,-2212325.565
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-05-12,-613221.6911
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-05-12,21549799.7
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-05-12,1473145.953
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-05-12,-15585.42559
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-05-12,9032232.579
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-05-12,1646082.963
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-05-12,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-05-12,434887.1038
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-05-12,-1641847.529
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-05-05,8949423.414
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-05-05,100006.678
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-05-05,18299998.51
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-05-05,707194.5978
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-05-05,1489420.078
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-05-05,-2150684.569
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-05-05,-665823.7411
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-05-05,21347998.02
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-05-05,1450641.142
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-05-05,-15135.68841
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-05-05,9086396.32
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-05-05,1667833.141
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-05-05,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-05-05,442337.849
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-05-05,-1593275.349
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-04-28,8936339.543
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-04-28,101009.6146
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-04-28,18104261
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-04-28,697518.6378
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-04-28,1489420.078
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-04-28,-2117748.715
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-04-28,-676683.3841
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-04-28,21008708.25
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-04-28,1337187.087
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-04-28,-14836.55381
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-04-28,9193232.598
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-04-28,1675255.012
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-04-28,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-04-28,473398.7747
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-04-28,-1525720.358
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-04-21,8901829.87
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-04-21,103320.0134
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-04-21,17877017.65
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-04-21,728785.6436
