series_name,date,trade_type,value,series_name2
Mineral Products,2020-07-31,exports,67815.474,Mineral Products
Products of Chemical or Allied Industries,2020-07-31,exports,40482.95,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-07-31,exports,32351.649,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-07-31,exports,67235.996,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-07-31,exports,4179.766,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-07-31,exports,4720.118,Other
Textiles and Textile articles,2020-07-31,exports,996720.235,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-07-31,exports,10272.759,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-07-31,exports,3634.821,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-07-31,exports,1090.76,Other
Base Metals and articles or Base Metal,2020-07-31,exports,66153.12,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-07-31,exports,11796.892,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-07-31,exports,6971.126,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-07-31,exports,41601.902,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-07-31,exports,4759.204,Other
Miscellaneous Manufactured articles,2020-07-31,exports,42481.63,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-07-31,exports,0,Other
Live Animals and Animals Products,2020-06-30,exports,69804.657,Live Animals and Animals Products
Vegetable Products,2020-06-30,exports,287493.303,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2020-06-30,exports,9179.243,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2020-06-30,exports,55534.339,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2020-06-30,exports,64792.05,Mineral Products
Products of Chemical or Allied Industries,2020-06-30,exports,40586.143,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-06-30,exports,36230.28,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-06-30,exports,54659.811,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-06-30,exports,2497.42,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-06-30,exports,4019.403,Other
Textiles and Textile articles,2020-06-30,exports,1001975.027,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-06-30,exports,9092.03,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-06-30,exports,3226.396,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-06-30,exports,1541.181,Other
Base Metals and articles or Base Metal,2020-06-30,exports,51107.51,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-06-30,exports,11732.612,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-06-30,exports,4604.834,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-06-30,exports,29842.863,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-06-30,exports,696.18,Other
Miscellaneous Manufactured articles,2020-06-30,exports,33084.085,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-06-30,exports,7.137,Other
Live Animals and Animals Products,2020-05-31,exports,53535.445,Live Animals and Animals Products
Vegetable Products,2020-05-31,exports,242553.939,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2020-05-31,exports,4077.28,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2020-05-31,exports,54309.112,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2020-05-31,exports,33959.559,Mineral Products
Products of Chemical or Allied Industries,2020-05-31,exports,23047.99,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-05-31,exports,24535.158,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-05-31,exports,45273.952,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-05-31,exports,448.231,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-05-31,exports,3084.897,Other
Textiles and Textile articles,2020-05-31,exports,765500.079,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-05-31,exports,7016.712,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-05-31,exports,2691.205,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-05-31,exports,620.352,Other
Base Metals and articles or Base Metal,2020-05-31,exports,30552.859,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-05-31,exports,10120.905,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-05-31,exports,3186.522,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-05-31,exports,26768.944,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-05-31,exports,68.836,Other
Miscellaneous Manufactured articles,2020-05-31,exports,26308.972,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-05-31,exports,0,Other
Live Animals and Animals Products,2020-04-30,exports,61359.855,Live Animals and Animals Products
Vegetable Products,2020-04-30,exports,276758.082,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2020-04-30,exports,1307.006,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2020-04-30,exports,96336.236,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2020-04-30,exports,51793.819,Mineral Products
Products of Chemical or Allied Industries,2020-04-30,exports,25745.543,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-04-30,exports,36706.753,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-04-30,exports,45599.546,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-04-30,exports,526.532,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-04-30,exports,813.996,Other
Textiles and Textile articles,2020-04-30,exports,830057.896,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-04-30,exports,7982.413,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-04-30,exports,2157.235,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-04-30,exports,1137.043,Other
Base Metals and articles or Base Metal,2020-04-30,exports,27815.251,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-04-30,exports,6641.588,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-04-30,exports,3765.788,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-04-30,exports,21636.703,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-04-30,exports,135.55,Other
Miscellaneous Manufactured articles,2020-04-30,exports,25114.796,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-04-30,exports,58.274,Other
Live Animals and Animals Products,2020-03-31,exports,64687.557,Live Animals and Animals Products
Vegetable Products,2020-03-31,exports,300403.035,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2020-03-31,exports,2533.704,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2020-03-31,exports,83518.039,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2020-03-31,exports,73565.836,Mineral Products
Products of Chemical or Allied Industries,2020-03-31,exports,30835.392,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-03-31,exports,42206.706,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-03-31,exports,65755.229,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-03-31,exports,2043.544,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-03-31,exports,3758.684,Other
Textiles and Textile articles,2020-03-31,exports,1103396.875,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-03-31,exports,12210.166,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-03-31,exports,3586.376,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-03-31,exports,1328.607,Other
Base Metals and articles or Base Metal,2020-03-31,exports,52207.74,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-03-31,exports,11377.273,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-03-31,exports,10035.678,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-03-31,exports,37600.179,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-03-31,exports,2381.353,Other
Miscellaneous Manufactured articles,2020-03-31,exports,41234.12,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-03-31,exports,0,Other
Live Animals and Animals Products,2020-02-29,exports,60931.841,Live Animals and Animals Products
Vegetable Products,2020-02-29,exports,299709.169,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2020-02-29,exports,2858.126,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2020-02-29,exports,66249.946,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2020-02-29,exports,83598.433,Mineral Products
Products of Chemical or Allied Industries,2020-02-29,exports,33661.459,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-02-29,exports,30983.074,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-02-29,exports,66276.29,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-02-29,exports,2177.839,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-02-29,exports,3775.529,Other
Textiles and Textile articles,2020-02-29,exports,1100579.429,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-02-29,exports,11735.714,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-02-29,exports,3379.036,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-02-29,exports,1068.91,Other
Base Metals and articles or Base Metal,2020-02-29,exports,45279.327,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-02-29,exports,12969.306,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-02-29,exports,6068.246,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-02-29,exports,35169.145,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-02-29,exports,613.587,Other
Miscellaneous Manufactured articles,2020-02-29,exports,42338.198,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-02-29,exports,16.52,Other
Live Animals and Animals Products,2020-01-31,exports,69019.488,Live Animals and Animals Products
Vegetable Products,2020-01-31,exports,322480.204,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2020-01-31,exports,5953.873,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2020-01-31,exports,75789.206,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2020-01-31,exports,81770.327,Mineral Products
Products of Chemical or Allied Industries,2020-01-31,exports,35565.642,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2020-01-31,exports,34110.423,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2020-01-31,exports,79767.467,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2020-01-31,exports,6282.561,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2020-01-31,exports,3748.693,Other
Textiles and Textile articles,2020-01-31,exports,1195601.304,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2020-01-31,exports,12491.038,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2020-01-31,exports,4259.058,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2020-01-31,exports,1196.87,Other
Base Metals and articles or Base Metal,2020-01-31,exports,60236.125,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2020-01-31,exports,14749.982,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2020-01-31,exports,6323.438,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2020-01-31,exports,34628.243,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2020-01-31,exports,865.303,Other
Miscellaneous Manufactured articles,2020-01-31,exports,41081.186,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2020-01-31,exports,1.508,Other
Live Animals and Animals Products,2019-12-31,exports,91742.255,Live Animals and Animals Products
Vegetable Products,2019-12-31,exports,331431.53,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-12-31,exports,6130.173,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-12-31,exports,56810.584,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-12-31,exports,93046.22,Mineral Products
Products of Chemical or Allied Industries,2019-12-31,exports,36344.479,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-12-31,exports,38981.287,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-12-31,exports,68004.743,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-12-31,exports,4167.754,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-12-31,exports,3874.193,Other
Textiles and Textile articles,2019-12-31,exports,1143907.22,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-12-31,exports,12366.402,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-12-31,exports,4833.321,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-12-31,exports,1208.53,Other
Base Metals and articles or Base Metal,2019-12-31,exports,70480.283,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-12-31,exports,13561.684,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-12-31,exports,6481.141,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-12-31,exports,40104.479,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-12-31,exports,10199.415,Other
Miscellaneous Manufactured articles,2019-12-31,exports,41562.926,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-12-31,exports,0,Other
Live Animals and Animals Products,2019-11-30,exports,78414.258,Live Animals and Animals Products
Vegetable Products,2019-11-30,exports,230430.47,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-11-30,exports,5283.937,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-11-30,exports,62930.582,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-11-30,exports,93020.372,Mineral Products
Products of Chemical or Allied Industries,2019-11-30,exports,28938.912,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-11-30,exports,32092.011,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-11-30,exports,66691.33,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-11-30,exports,4075.486,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-11-30,exports,3206.548,Other
Textiles and Textile articles,2019-11-30,exports,1062693.269,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-11-30,exports,10230.381,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-11-30,exports,4107.521,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-11-30,exports,1173.383,Other
Base Metals and articles or Base Metal,2019-11-30,exports,56647.148,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-11-30,exports,12178.495,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-11-30,exports,62298.094,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-11-30,exports,35463.175,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-11-30,exports,1344.162,Other
Miscellaneous Manufactured articles,2019-11-30,exports,41665.163,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-11-30,exports,75.08,Other
Live Animals and Animals Products,2019-10-31,exports,82298.877,Live Animals and Animals Products
Vegetable Products,2019-10-31,exports,250357.122,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-10-31,exports,6476.73,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-10-31,exports,67701.673,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-10-31,exports,122357.061,Mineral Products
Products of Chemical or Allied Industries,2019-10-31,exports,36531.588,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-10-31,exports,35153.972,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-10-31,exports,75489.42,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-10-31,exports,3675.919,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-10-31,exports,3475.513,Other
Textiles and Textile articles,2019-10-31,exports,1227157.091,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-10-31,exports,13514.121,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-10-31,exports,4251.669,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-10-31,exports,1170.682,Other
Base Metals and articles or Base Metal,2019-10-31,exports,66611.732,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-10-31,exports,19019.439,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-10-31,exports,4699.261,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-10-31,exports,38936.844,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-10-31,exports,30868.871,Other
Miscellaneous Manufactured articles,2019-10-31,exports,48422.333,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-10-31,exports,2.737,Other
Live Animals and Animals Products,2019-09-30,exports,58385.586,Live Animals and Animals Products
Vegetable Products,2019-09-30,exports,237110.368,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-09-30,exports,2846.964,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-09-30,exports,101844.487,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-09-30,exports,80821.678,Mineral Products
Products of Chemical or Allied Industries,2019-09-30,exports,33285.249,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-09-30,exports,30865.914,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-09-30,exports,66349.457,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-09-30,exports,3330.999,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-09-30,exports,2816.615,Other
Textiles and Textile articles,2019-09-30,exports,1113359.488,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-09-30,exports,10729.861,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-09-30,exports,3219.645,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-09-30,exports,1175.706,Other
Base Metals and articles or Base Metal,2019-09-30,exports,48074.03,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-09-30,exports,16246.851,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-09-30,exports,6547.472,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-09-30,exports,34117.692,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-09-30,exports,5186.614,Other
Miscellaneous Manufactured articles,2019-09-30,exports,44126.956,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-09-30,exports,230.48,Other
Live Animals and Animals Products,2019-08-31,exports,46330.979,Live Animals and Animals Products
Vegetable Products,2019-08-31,exports,219792.668,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-08-31,exports,3499.471,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-08-31,exports,53638.905,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-08-31,exports,94925.636,Mineral Products
Products of Chemical or Allied Industries,2019-08-31,exports,26603.378,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-08-31,exports,20717.117,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-08-31,exports,66869.02,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-08-31,exports,2406.615,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-08-31,exports,4403.897,Other
Textiles and Textile articles,2019-08-31,exports,1092650.413,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-08-31,exports,15697.624,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-08-31,exports,3390.807,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-08-31,exports,1113.123,Other
Base Metals and articles or Base Metal,2019-08-31,exports,37789.079,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-08-31,exports,11468.444,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-08-31,exports,4651.655,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-08-31,exports,36355.102,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-08-31,exports,185.529,Other
Miscellaneous Manufactured articles,2019-08-31,exports,40516.439,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-08-31,exports,0.554,Other
Live Animals and Animals Products,2019-07-31,exports,64837.283,Live Animals and Animals Products
Vegetable Products,2019-07-31,exports,314189.97,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-07-31,exports,4373.123,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-07-31,exports,70976.078,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-07-31,exports,113090.798,Mineral Products
Products of Chemical or Allied Industries,2019-07-31,exports,35485.812,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-07-31,exports,38915.013,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-07-31,exports,69506.781,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-07-31,exports,3848.885,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-07-31,exports,3719.842,Other
Textiles and Textile articles,2019-07-31,exports,1230159.99,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-07-31,exports,12925.764,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-07-31,exports,4183.977,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-07-31,exports,1700.913,Other
Base Metals and articles or Base Metal,2019-07-31,exports,65418.134,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-07-31,exports,10533.598,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-07-31,exports,28004.478,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-07-31,exports,38769.787,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-07-31,exports,655.932,Other
Miscellaneous Manufactured articles,2019-07-31,exports,46550.754,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-07-31,exports,58.96,Other
Live Animals and Animals Products,2019-06-30,exports,79222.62,Live Animals and Animals Products
Vegetable Products,2019-06-30,exports,285492.979,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-06-30,exports,2326.114,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-06-30,exports,92655.557,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-06-30,exports,107590.998,Mineral Products
Products of Chemical or Allied Industries,2019-06-30,exports,27515.407,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-06-30,exports,35732.935,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-06-30,exports,65129.812,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-06-30,exports,2414.564,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-06-30,exports,6423.322,Other
Textiles and Textile articles,2019-06-30,exports,1016767.787,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2019-06-30,exports,11540.093,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2019-06-30,exports,3714.609,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2019-06-30,exports,915.955,Other
Base Metals and articles or Base Metal,2019-06-30,exports,56135.568,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2019-06-30,exports,9912.893,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2019-06-30,exports,4274.937,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2019-06-30,exports,33335.412,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2019-06-30,exports,534.007,Other
Miscellaneous Manufactured articles,2019-06-30,exports,40429.149,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2019-06-30,exports,60.895,Other
Live Animals and Animals Products,2019-05-31,exports,89176.373,Live Animals and Animals Products
Vegetable Products,2019-05-31,exports,337849.851,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2019-05-31,exports,3592.885,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2019-05-31,exports,134503.285,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2019-05-31,exports,114221.508,Mineral Products
Products of Chemical or Allied Industries,2019-05-31,exports,33496.2,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2019-05-31,exports,36846.205,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2019-05-31,exports,80079.126,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2019-05-31,exports,3296.774,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2019-05-31,exports,7344.278,Other
Textiles and Textile articles,2019-05-31,exports,1209860.492,Textiles and Textile articles
