series_name,date,trade_type,value,series_name2
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-03-31,imports,50494.631,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-03-31,imports,2442.008,Other
Miscellaneous Manufactured articles,2023-03-31,imports,15312.73,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-03-31,imports,28466.78,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2023-02-28,imports,5327.723,Other
Vegetable Products,2023-02-28,imports,386683.193,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-02-28,imports,360722.677,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-02-28,imports,32077.021,Other
Mineral Products,2023-02-28,imports,1347059.917,Mineral Products
Products of Chemical or Allied Industries,2023-02-28,imports,433547.616,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-02-28,imports,177060.749,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-02-28,imports,2373.181,Other
Wood and articles of Wood,2023-02-28,imports,4760.399,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-02-28,imports,43080.588,Other
Textiles and Textile articles,2023-02-28,imports,319825.799,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-02-28,imports,1492.391,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-02-28,imports,8530.755,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-02-28,imports,0.382,Other
Base Metals and articles or Base Metal,2023-02-28,imports,182403.269,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-02-28,imports,266048.1,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-02-28,imports,72773.377,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-02-28,imports,78268.813,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-02-28,imports,8131.673,Other
Miscellaneous Manufactured articles,2023-02-28,imports,10869.526,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-02-28,imports,93953.274,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2023-01-31,imports,11292.395,Other
Vegetable Products,2023-01-31,imports,435134.335,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-01-31,imports,283502.39,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-01-31,imports,24637.079,Other
Mineral Products,2023-01-31,imports,1324237.94,Mineral Products
Products of Chemical or Allied Industries,2023-01-31,imports,466848.266,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-01-31,imports,190260.768,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-01-31,imports,3296.809,Other
Wood and articles of Wood,2023-01-31,imports,6666.031,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-01-31,imports,38764.53,Other
Textiles and Textile articles,2023-01-31,imports,398665.241,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-01-31,imports,1460.674,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-01-31,imports,8779.1,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-01-31,imports,226.667,Other
Base Metals and articles or Base Metal,2023-01-31,imports,239181.132,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-01-31,imports,248416.477,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-01-31,imports,105165.724,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-01-31,imports,41058.452,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-01-31,imports,64.454,Other
Miscellaneous Manufactured articles,2023-01-31,imports,14808.13,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-01-31,imports,23495.437,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-12-31,imports,10572.142,Other
Vegetable Products,2022-12-31,imports,334122.928,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-12-31,imports,327455.052,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-12-31,imports,37225.689,Other
Mineral Products,2022-12-31,imports,1337645.365,Mineral Products
Products of Chemical or Allied Industries,2022-12-31,imports,519087.533,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-12-31,imports,208371.801,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-12-31,imports,3590.606,Other
Wood and articles of Wood,2022-12-31,imports,12156.107,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-12-31,imports,64555.337,Other
Textiles and Textile articles,2022-12-31,imports,522714.707,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-12-31,imports,2639.055,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-12-31,imports,14837.492,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-12-31,imports,658.626,Other
Base Metals and articles or Base Metal,2022-12-31,imports,292979.588,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-12-31,imports,302761.906,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-12-31,imports,99720.515,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-12-31,imports,61500.667,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-12-31,imports,991.287,Other
Miscellaneous Manufactured articles,2022-12-31,imports,19242.409,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-12-31,imports,19195.455,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-11-30,imports,13943.824,Other
Vegetable Products,2022-11-30,imports,268532.221,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-11-30,imports,360192.202,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-11-30,imports,44257.127,Other
Mineral Products,2022-11-30,imports,1354717.145,Mineral Products
Products of Chemical or Allied Industries,2022-11-30,imports,599089.515,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-11-30,imports,212256.561,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-11-30,imports,3213.219,Other
Wood and articles of Wood,2022-11-30,imports,10301.007,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-11-30,imports,65750.375,Other
Textiles and Textile articles,2022-11-30,imports,453397.889,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-11-30,imports,3406.835,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-11-30,imports,17929.518,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-11-30,imports,175.771,Other
Base Metals and articles or Base Metal,2022-11-30,imports,300544.244,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-11-30,imports,377039.803,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-11-30,imports,124025.061,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-11-30,imports,49958.345,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-11-30,imports,3042.079,Other
Miscellaneous Manufactured articles,2022-11-30,imports,21447.038,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-11-30,imports,19918.677,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-10-31,imports,11984.017,Other
Vegetable Products,2022-10-31,imports,369748.29,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-10-31,imports,283417.259,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-10-31,imports,40746.943,Other
Mineral Products,2022-10-31,imports,1650530.955,Mineral Products
Products of Chemical or Allied Industries,2022-10-31,imports,545908.444,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-10-31,imports,254169.214,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-10-31,imports,3352.74,Other
Wood and articles of Wood,2022-10-31,imports,9787.132,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-10-31,imports,77356.224,Other
Textiles and Textile articles,2022-10-31,imports,343412.499,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-10-31,imports,3458.796,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-10-31,imports,17990.749,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-10-31,imports,692.678,Other
Base Metals and articles or Base Metal,2022-10-31,imports,334507.119,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-10-31,imports,413617.262,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-10-31,imports,113306.007,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-10-31,imports,59723.422,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-10-31,imports,870.827,Other
Miscellaneous Manufactured articles,2022-10-31,imports,22218.513,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-10-31,imports,21438.158,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-09-30,imports,9198.763,Other
Vegetable Products,2022-09-30,imports,397523.246,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-09-30,imports,395267.217,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-09-30,imports,35668.136,Other
Mineral Products,2022-09-30,imports,1624388.369,Mineral Products
Products of Chemical or Allied Industries,2022-09-30,imports,565673.204,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-09-30,imports,256095.794,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-09-30,imports,3871.334,Other
Wood and articles of Wood,2022-09-30,imports,8960.899,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-09-30,imports,78922.886,Other
Textiles and Textile articles,2022-09-30,imports,296490.652,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-09-30,imports,3779.81,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-09-30,imports,18215.642,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-09-30,imports,200.516,Other
Base Metals and articles or Base Metal,2022-09-30,imports,357216.044,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-09-30,imports,440135.776,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-09-30,imports,141745.704,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-09-30,imports,55277.493,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-09-30,imports,232.467,Other
Miscellaneous Manufactured articles,2022-09-30,imports,23864.855,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-09-30,imports,56057.17,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-08-31,imports,17224.418,Other
Vegetable Products,2022-08-31,imports,406689.93,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-08-31,imports,405005.862,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-08-31,imports,38462.326,Other
Mineral Products,2022-08-31,imports,2415620.182,Mineral Products
Products of Chemical or Allied Industries,2022-08-31,imports,659754.454,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-08-31,imports,285867.623,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-08-31,imports,3570.792,Other
Wood and articles of Wood,2022-08-31,imports,9750.781,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-08-31,imports,88680.079,Other
Textiles and Textile articles,2022-08-31,imports,365357.015,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-08-31,imports,3397.974,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-08-31,imports,21710.845,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-08-31,imports,379.501,Other
Base Metals and articles or Base Metal,2022-08-31,imports,449311.058,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-08-31,imports,572657.602,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-08-31,imports,146350.923,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-08-31,imports,58774.494,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-08-31,imports,398.312,Other
Miscellaneous Manufactured articles,2022-08-31,imports,22955.118,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-08-31,imports,25597.861,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-07-31,imports,7548.538,Other
Vegetable Products,2022-07-31,imports,304312.323,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-07-31,imports,294536.757,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-07-31,imports,30825.334,Other
Mineral Products,2022-07-31,imports,2513337.126,Mineral Products
Products of Chemical or Allied Industries,2022-07-31,imports,534278.701,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-07-31,imports,295460.968,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-07-31,imports,3298.778,Other
Wood and articles of Wood,2022-07-31,imports,10998.484,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-07-31,imports,60723.819,Other
Textiles and Textile articles,2022-07-31,imports,383780.113,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-07-31,imports,1478.387,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-07-31,imports,17057.457,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-07-31,imports,3440.386,Other
Base Metals and articles or Base Metal,2022-07-31,imports,402827.199,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-07-31,imports,494165.523,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-07-31,imports,119925.699,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-07-31,imports,47662.524,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-07-31,imports,1185.105,Other
Miscellaneous Manufactured articles,2022-07-31,imports,23284.171,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-07-31,imports,22887.217,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-06-30,imports,8667.789,Other
Vegetable Products,2022-06-30,imports,200213.966,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-06-30,imports,124376.178,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-06-30,imports,38124.342,Other
Mineral Products,2022-06-30,imports,3176004.575,Mineral Products
Products of Chemical or Allied Industries,2022-06-30,imports,631593.115,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-06-30,imports,346687.123,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-06-30,imports,5207.312,Other
Wood and articles of Wood,2022-06-30,imports,9756.949,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-06-30,imports,74082.902,Other
Textiles and Textile articles,2022-06-30,imports,448966.656,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-06-30,imports,2575.105,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-06-30,imports,18585.794,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-06-30,imports,337.634,Other
Base Metals and articles or Base Metal,2022-06-30,imports,516406.208,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-06-30,imports,754929.819,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-06-30,imports,189478.887,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-06-30,imports,50663.488,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-06-30,imports,454.855,Other
Miscellaneous Manufactured articles,2022-06-30,imports,24330.968,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-06-30,imports,201170.863,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-05-31,imports,7687.704,Other
Vegetable Products,2022-05-31,imports,336258.854,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-05-31,imports,373262.005,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-05-31,imports,36859.89,Other
Mineral Products,2022-05-31,imports,1576867.596,Mineral Products
Products of Chemical or Allied Industries,2022-05-31,imports,542662.98,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-05-31,imports,333931.733,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-05-31,imports,5928.261,Other
Wood and articles of Wood,2022-05-31,imports,9942.228,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-05-31,imports,69526.124,Other
Textiles and Textile articles,2022-05-31,imports,506788.73,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-05-31,imports,2500.886,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-05-31,imports,19120.417,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-05-31,imports,323.419,Other
Base Metals and articles or Base Metal,2022-05-31,imports,464813.619,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-05-31,imports,772520.252,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-05-31,imports,325681.122,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-05-31,imports,78386.323,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-05-31,imports,379.593,Other
Miscellaneous Manufactured articles,2022-05-31,imports,27354.783,Other
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-05-31,imports,62911.807,"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES"
Live Animals and Animals Products,2022-04-30,imports,7015.277,Other
Vegetable Products,2022-04-30,imports,187519.234,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-04-30,imports,325974.872,"Animal or Vegetable Fats, Oils and Waxes"
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-04-30,imports,44579.747,Other
Mineral Products,2022-04-30,imports,1995843.123,Mineral Products
Products of Chemical or Allied Industries,2022-04-30,imports,660125.34,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-04-30,imports,348437.768,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-04-30,imports,5349.03,Other
Wood and articles of Wood,2022-04-30,imports,15442.114,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-04-30,imports,65679.938,Other
Textiles and Textile articles,2022-04-30,imports,546063.51,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-04-30,imports,2519.776,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-04-30,imports,18148.403,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-04-30,imports,1086.918,Other
Base Metals and articles or Base Metal,2022-04-30,imports,430948.795,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-04-30,imports,829463.817,Machinery and Mechanical Appliances
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-04-30,imports,305414.096,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-04-30,imports,66207.864,Other
