Month,Price,Change,type,0
Sep 2014,95.85,-4.20%,Crude Oil,
Oct 2014,86.08,-10.19%,Crude Oil,
Nov 2014,76.99,-10.56%,Crude Oil,
Dec 2014,60.7,-21.16%,Crude Oil,
Jan 2015,47.11,-22.39%,Crude Oil,
Feb 2015,54.79,16.30%,Crude Oil,
Mar 2015,52.83,-3.58%,Crude Oil,
Apr 2015,57.54,8.92%,Crude Oil,
May 2015,62.51,8.63%,Crude Oil,
Jun 2015,61.31,-1.92%,Crude Oil,
Jul 2015,54.34,-11.37%,Crude Oil,
Aug 2015,45.69,-15.92%,Crude Oil,
Sep 2015,46.28,1.29%,Crude Oil,
Oct 2015,46.96,1.47%,Crude Oil,
Nov 2015,43.11,-8.20%,Crude Oil,
Dec 2015,36.57,-15.17%,Crude Oil,
Jan 2016,29.78,-18.57%,Crude Oil,
Feb 2016,31.03,4.20%,Crude Oil,
Mar 2016,37.34,20.34%,Crude Oil,
Apr 2016,40.75,9.13%,Crude Oil,
May 2016,45.94,12.74%,Crude Oil,
Jun 2016,47.69,3.81%,Crude Oil,
Jul 2016,44.13,-7.46%,Crude Oil,
Aug 2016,44.88,1.70%,Crude Oil,
Sep 2016,45.04,0.36%,Crude Oil,
Oct 2016,49.29,9.44%,Crude Oil,
Nov 2016,45.26,-8.18%,Crude Oil,
Dec 2016,52.62,16.26%,Crude Oil,
Jan 2017,53.59,1.84%,Crude Oil,
Feb 2017,54.35,1.42%,Crude Oil,
Mar 2017,50.9,-6.35%,Crude Oil,
Apr 2017,52.16,2.48%,Crude Oil,
May 2017,49.89,-4.35%,Crude Oil,
Jun 2017,46.17,-7.46%,Crude Oil,
Jul 2017,47.66,3.23%,Crude Oil,
Aug 2017,49.94,4.78%,Crude Oil,
Sep 2017,52.95,6.03%,Crude Oil,
Oct 2017,54.92,3.72%,Crude Oil,
Nov 2017,59.93,9.12%,Crude Oil,
Dec 2017,61.19,2.10%,Crude Oil,
Jan 2018,66.23,8.24%,Crude Oil,
Feb 2018,63.46,-4.18%,Crude Oil,
Mar 2018,64.17,1.12%,Crude Oil,
Apr 2018,68.79,7.20%,Crude Oil,
May 2018,73.43,6.75%,Crude Oil,
Jun 2018,71.98,-1.97%,Crude Oil,
Jul 2018,72.67,0.96%,Crude Oil,
Aug 2018,71.08,-2.19%,Crude Oil,
Sep 2018,75.36,6.02%,Crude Oil,
Oct 2018,76.73,1.82%,Crude Oil,
Nov 2018,62.32,-18.78%,Crude Oil,
Dec 2018,53.96,-13.41%,Crude Oil,
Jan 2019,56.58,4.86%,Crude Oil,
Feb 2019,61.13,8.04%,Crude Oil,
Mar 2019,63.79,4.35%,Crude Oil,
Apr 2019,68.58,7.51%,Crude Oil,
May 2019,66.83,-2.55%,Crude Oil,
Jun 2019,59.76,-10.58%,Crude Oil,
Jul 2019,61.48,2.88%,Crude Oil,
Aug 2019,57.67,-6.20%,Crude Oil,
