Month,Price,Change,type,0
Sep 2019,60.04,4.11%,Crude Oil,
Oct 2019,57.27,-4.61%,Crude Oil,
Nov 2019,60.4,5.47%,Crude Oil,
Dec 2019,63.35,4.88%,Crude Oil,
Jan 2020,61.63,-2.72%,Crude Oil,
Feb 2020,53.35,-13.44%,Crude Oil,
Mar 2020,32.2,-39.64%,Crude Oil,
Apr 2020,21.04,-34.66%,Crude Oil,
May 2020,30.38,44.39%,Crude Oil,
Jun 2020,39.46,29.89%,Crude Oil,
Jul 2020,42.07,6.61%,Crude Oil,
Aug 2020,43.44,3.26%,Crude Oil,
Sep 2020,40.6,-6.54%,Crude Oil,
Oct 2020,39.9,-1.72%,Crude Oil,
Nov 2020,42.3,6.02%,Crude Oil,
Dec 2020,48.73,15.20%,Crude Oil,
Jan 2021,53.6,9.99%,Crude Oil,
Feb 2021,60.46,12.80%,Crude Oil,
Mar 2021,63.83,5.57%,Crude Oil,
Apr 2021,62.95,-1.38%,Crude Oil,
May 2021,66.4,5.48%,Crude Oil,
Jun 2021,71.8,8.13%,Crude Oil,
Jul 2021,73.28,2.06%,Crude Oil,
Aug 2021,68.87,-6.02%,Crude Oil,
Sep 2021,72.8,5.71%,Crude Oil,
Oct 2021,82.06,12.72%,Crude Oil,
Nov 2021,79.92,-2.61%,Crude Oil,
Dec 2021,72.87,-8.82%,Crude Oil,
Jan 2022,83.92,15.16%,Crude Oil,
Feb 2022,93.54,11.46%,Crude Oil,
Mar 2022,112.4,20.16%,Crude Oil,
Apr 2022,103.41,-8.00%,Crude Oil,
May 2022,110.1,6.47%,Crude Oil,
Jun 2022,116.8,6.09%,Crude Oil,
Jul 2022,105.08,-10.03%,Crude Oil,
Aug 2022,95.97,-8.67%,Crude Oil,
Sep 2022,88.22,-8.08%,Crude Oil,
Oct 2022,90.33,2.39%,Crude Oil,
Nov 2022,87.38,-3.27%,Crude Oil,
Dec 2022,78.07,-10.65%,Crude Oil,
Jan 2023,80.41,3.00%,Crude Oil,
Feb 2023,80.25,-0.20%,Crude Oil,
Mar 2023,76.47,-4.71%,Crude Oil,
Apr 2023,82.46,7.83%,Crude Oil,
Apr 1993,112.75,-,Dap Fertilizer,
May 1993,115.1,2.08%,Dap Fertilizer,
Jun 1993,113.88,-1.06%,Dap Fertilizer,
Jul 1993,112.88,-0.88%,Dap Fertilizer,
Aug 1993,113.1,0.19%,Dap Fertilizer,
Sep 1993,116.88,3.34%,Dap Fertilizer,
Oct 1993,129.5,10.80%,Dap Fertilizer,
Nov 1993,140.4,8.42%,Dap Fertilizer,
Dec 1993,150.38,7.11%,Dap Fertilizer,
Jan 1994,150.0,-0.25%,Dap Fertilizer,
Feb 1994,151.75,1.17%,Dap Fertilizer,
Mar 1994,155.88,2.72%,Dap Fertilizer,
Apr 1994,162.25,4.09%,Dap Fertilizer,
May 1994,159.2,-1.88%,Dap Fertilizer,
